author
"Abad-Grau, Maria M"
"Abawi, Daniel F"
"Abbas, Merza"
"Abbott, Jo-Anne M"
"Abbott, M"
"Abbott, Stephen"
"Abdeslam, Djaffar Ould"
"Abdous, Mhammed"
"Abdul Karim, Abdul Malek"
"Abdullah, Hanifa"
"Abele, H"
"Abella, Jaume"
"Abendroth, Martin"
"Abidi, Syed Sibte Raza"
"Aboagye-Ampah, Clement"
"AbouElnaga, Sherif"
"Abovsky, Andre"
"Abrahao, Julia Issy"
Abrami
"Abrevaya, Jason"
"Abu Hassan, Hjh Hafizah Nor Binti"
"Abu-Zitar, R"
"Acarturk, Cengiz"
"Achalakul, Tiranee"
"Achuthan, nr"
"Ackerman, Michael"
"Ackermann, Kurt"
"Acres, D J"
"Adamack, Monica"
"Adams, J"
"Adams, Tina M"
"Adascalitei, Adrian"
"Adelman, Deborah"
"Adla, T"
"Aedo, Ignacio"
"Afzal, Muhammad Tanvir"
"Agdas, Duzgun"
"Aggarwal, Amita"
"Aggarwal, J K"
"Aggarwal, Rakesh"
"Agius, R"
"Agius, Raymond"
"Agra, Yolanda"
"Agrawal, Jai P"
"Aguado, David"
Aguilar-Ruiz
"Aguilera, J"
"Ahad, Sajida"
"Aharony, Noa"
"Ahern, Terence C"
"Ahfock, A"
"Ahmed, Irfan"
"Ahmed, Mohammed Zaki"
"Ahten, Sara"
"Aikaterini, Tsadima"
"Aires, Luisa"
"Aitken, C G G"
"Aito, S"
"Ajjawi, Rola"
"Akarasriworn, Chatchada"
"Akhtar-Danesh, Noori"
"Akisawa, Atsushi"
"Akiyama, Hidenori"
"Akota, I"
"Aksal, Fahriye A"
"Aksoy, Murat"
"Akutsu, T"
"Ala-Mutka, Kirsti"
"Alava, Seraphin"
"Albeanu, Grigore"
"Albert, D"
"Albert, Jesus V"
"Albrecht, H"
Albrecht
"Albu, Tamara"
"Alder, D M"
"Al-Dubaee, Shawki"
"Alenezi, Abdulhameed Rakan"
"Alessandrini, B"
"Alestock, Jennifer"
Alexander
"Alexander, P M"
"Alexandru, Adriana"
"AlFaar, Ahmad S"
"Alfahad, Fahad N"
"Alfaro Rivera, Jorge Antonio"
"Alfredo Cobian-Campos, Jose"
"Al-Hawamdeh, S"
"Alhlak, Bassl Ahmad"
"Ali, Ahmed"
"Ali, Joseph"
"Ali, Nagia S"
"Alier Forment, Marc"
"Alier, Marc"
"Al-Jarf, Reima"
"Al-Juboori, Haider M"
"Al-Khalifa, Hend S"
"AlKuhaimi, S A A"
"Allan, Garry"
"Allen, M"
"Allen, R"
"Allwinkle, Sam"
"AlMandy, Rana"
"AlMogait, E S"
"Almoguera, Rose"
"Alonso Diaz, Laura"
"Alonso, Laura"
"Alpaydin, E"
"Alper, Ayfer"
"Alpiste Penalba, Francisco"
"Alraddadi, Abdulaziz Saleh"
"Al-Samarraie, Hosam"
"Al-Shara, Osama"
"Alsharif, Naser Z"
"Alsharif, NZ"
"Altinay, Zehra"
"Alty, JL"
"Alvarenga, Katia de Freitas"
"Alvarez, I"
"Alvarez, R"
"Alves, Gustavo R"
"Alves, Rosa Helena Kreutz"
"Al-Yazeedi, Fatema"
"Alzubaidi, Mohammad"
"Amandi, Analia"
"Amato, F"
"Amayri, Ola"
"Ameisen, David"
"Amft, Oliver"
"Amin, Ash"
"Amirat, Yacine"
"Amuzie, Grace L"
an adaptive computer game for remediation of dyscalculia
"An, Heejung"
"An, Yongli"
"Anane, R"
"Anantharaman, Latha"
"Anaya, Henry D"
"Ancao, MS"
"Anderson, DV"
"Anderson, Elizabeth T"
"Anderson, Gina Lynn"
"Anderson, JA"
"Anderson, Jean A"
"Anderson, Joanna Kosmala"
"Anderson, Judith V"
"Anderson, Rozalynd P"
"Anderson, Stuart"
"Anderson, Terry"
"Andersson, Anders F"
"Andonie, R"
"Andreatos, Antonios"
"Andresen, Martin A"
"Andrew, Stephen"
"Andrews, Kenneth G"
"Andrews, Trish"
"Androwich, Ida M"
"Andruseac, Gabriela Gladiola"
Andujar Marquez
"Ang, Kai Keng"
"Angel Conde, Miguel"
"Angeli, C"
"Angelo, Michele Fulvia"
"Angelov, Plamen"
"Angelova, G"
"Anglin, Gary J"
"Annand, David"
"Anne, A"
"Annovazzi, Pietro"
"Anohina, A"
"Anohina-Naumeca, Alla"
Anshu
"Anstadt, Scott P"
"Antemie, Alex"
"Anthony, Natasha"
"Antonio Iglesias, Jose"
"Antoniou, Panagiotis"
"Antunes, E"
"Apostol, Silviu"
"Appiah-Boateng, P"
"Arapi, Polyxeni"
"Arbaugh, J B"
"Arbogast, Alan F"
"Arcangeli, Bianca"
"Arcega Solsona, Francisco J"
"Arel, Itamar"
"Arenas, Alvaro"
"Areosa, Almudena"
