author1,author2,author3,author4,author5,author6,author7,author8,author9,author10,author11,author12,author13,author14,author15,author16,author17,author18,author19,author20,author21,author22,author23,author24,author25,author26,author27,author28,author29,author30,author31,author32,author33,author34,author35,author36,author37,author38,count
"mazzaferro, v","regalia, e","doci, r","andreola, s","pulvirenti, a","bozzetti, f","montalto, f","ammatuna, m","morabito, a","gennari, l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2554
"starzl, te","todo, s","fung, j","demetris, aj","venkataramman, r","jain, a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,794
llovet,"fuster, j","bruix, j",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,788
"yao, fy","ferrell, l","bass, nm","watson, jj","bacchetti, p","venook, a","ascher, nl","roberts, jp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,736
"samuel, d","muller, r","alexander, g","fassati, l","ducot, b","benhamou, jp","bismuth, h",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,659
"bismuth, h","chiche, l","adam, r","castaing, d","diamond, t","dennison, a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,653
"ploeg, rj","dalessandro, am","knechtle, sj","stegall, md","pirsch, jd","hoffmann, rm","sasaki, t","sollinger, hw","belzer, fo","kalayoglu, m",miller,katz,greig,otte,emond,,,,,,,,,,,,,,,,,,,,,,,,599
"kamada, n","calne, ry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,587
"fox, ij","chowdhury, jr","kaufman, ss","goertzen, tc","chowdhury, nr","warkentin, pi","dorko, k","sauter, bv","strom, sc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,558
"forman, lm","lewis, jd","berlin, ja","feldman, hi","lucey, mr",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,537
"broelsch, ce","whitington, pf",emond,"heffron, tg","thistlethwaite, jr","stevens, l","piper, j","whitington, sh","lichtor, jl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493
"busuttil, rw","mcdiarmid, s","klintmalm, gb","goldstein, r","miller, cm","schwartz, m","shaw, bw","roberts, jp","hebert, mf","esquivel, co","nakazato, p","wiesner, rh","krom, raf","kalayoglu, m","dalessandro, am","marsh, jw","peters, mg","burdick, j","klein, a","lewis, wd","jenkins, r","thistlethwaite, jr",emond,"jusko, wj","dambrosio, r","buell, d","fitzsimmons, we",,,,,,,,,,,,483
"urata, k","kawasaki, s","matsunami, h","hashikura, y","ikegami, t","ishizone, s","momose, y","komiyama, a","makuuchi, m",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468
"berenguer, m","ferrell, l","watson, j","prieto, m","kim, m","rayon, m","cordoba, j","herola, a","ascher, n","mir, j","berenguer, j","wright, tl",,,,,,,,,,,,,,,,,,,,,,,,,,,463
"kiuchi, t","kasahara, m","uryuhara, k","inomata, y","uemoto, s","asonuma, k","egawa, h","fujita, s","hayashi, m","tanaka, k",,,,,,,,,,,,,,,,,,,,,,,,,,,,,463
"jonas, s","bechstein, wo","steinmuller, t","herrmann, m","radke, c","berg, t","settmacher, u","neuhaus, p",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450
