author1,author2,author3,author4,author5,author6,author7,author8,author9,author10,author11,author12,author13,author14,author15,author16,author17,author18,author19,author20,author21,author22,author23,author24,author25,author26,author27,author28
"Boulos, Maged N Kamel","Maramba, Inocencio","Wheeler, Steve",,,,,,,,,,,,,,,,,,,,,,,,,
"Sun, Pei-Chen","Tsai, Ray J","Finger, Glenn","Chen, Yueh-Yang","Yeh, Dowming",,,,,,,,,,,,,,,,,,,,,,,
"Tallent-Runnels, Mary K","Thomas, Julie A","Lan, William Y","Cooper, Sandi","Ahern, Terence C","Shaw, Shana M","Liu, Xiaoming",,,,,,,,,,,,,,,,,,,,,
"Wutoh, Rita","Boren, Suzanne Austin","Balas, E Andrew",,,,,,,,,,,,,,,,,,,,,,,,,
"Tetko, Igor V","Sushko, Iurii","Pandey, Anil Kumar","Zhu, Hao","Tropsha, Alexander","Papa, Ester","Oberg, Tomas","Todeschini, Roberto","Fourches, Denis","Varnek, Alexandre",,,,,,,,,,,,,,,,,,
"Evans, Chris",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Koper, R","Olivier, B",,,,,,,,,,,,,,,,,,,,,,,,,,
"El-Naqa, I","Yang, YY","Galatsanos, NP","Nishikawa, RM","Wernick, MN",,,,,,,,,,,,,,,,,,,,,,,
"Amin, Ash","Roberts, Joanne",,,,,,,,,,,,,,,,,,,,,,,,,,
"Romero, Cristobal","Ventura, Sebastian","Garcia, Enrique",,,,,,,,,,,,,,,,,,,,,,,,,
"Schrire, S",,,,,,,,,,,,,,,,,,,,,,,,,,,
"So, Hyo-Jeong","Brush, Thomas A",,,,,,,,,,,,,,,,,,,,,,,,,,
"Cook, DA","Dupras, DM",,,,,,,,,,,,,,,,,,,,,,,,,,
"Moosmann, Frank","Nowak, Eric","Jurie, Frederic",,,,,,,,,,,,,,,,,,,,,,,,,
"Cook, David A",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Strijbos, JW","Martens, RL","Jochems, WMG",,,,,,,,,,,,,,,,,,,,,,,,,
"Mazzolini, M","Maddison, S",,,,,,,,,,,,,,,,,,,,,,,,,,
"Childs, S","Blenkinsopp, E","Hall, A","Walton, G",,,,,,,,,,,,,,,,,,,,,,,,
"Lu, J","Yu, CS","Liu, C",,,,,,,,,,,,,,,,,,,,,,,,,
"Liu, Su-Houn","Liao, Hsiu-Li","Pratt, Jean A",,,,,,,,,,,,,,,,,,,,,,,,,
"Cho, Hichang","Gay, Geri","Davidson, Barry","Ingraffea, Anthony",,,,,,,,,,,,,,,,,,,,,,,,
"Dickey, MD",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Atack, L","Rankin, J",,,,,,,,,,,,,,,,,,,,,,,,,,
"Andersson, Anders F","Riemann, Lasse","Bertilsson, Stefan",,,,,,,,,,,,,,,,,,,,,,,,,
"Billings, DM","Connors, HR","Skiba, DJ",,,,,,,,,,,,,,,,,,,,,,,,,
"Papa, J P","Falcao, A X","Suzuki, C T N",,,,,,,,,,,,,,,,,,,,,,,,,
"LaBresh, Kenneth A","Gliklich, Richard","Liljestrand, James","Peto, Randolph","Ellrodt, A Gray",,,,,,,,,,,,,,,,,,,,,,,
"Brasnett, Paul","Mihaylova, Lyudmila","Bull, David","Canagarajah, Nishan",,,,,,,,,,,,,,,,,,,,,,,,
"Wong, Geoff","Greenhalgh, Trisha","Pawson, Ray",,,,,,,,,,,,,,,,,,,,,,,,,
"Sen, Subhabrata","Rexford, Jennifer L","Dey, Jayanta K","Kurose, James F","Towsley, Donald F",,,,,,,,,,,,,,,,,,,,,,,
"Tatli, Zeynep Haliloglu",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Larreamendy-Joerns, Jorge","Leinhardt, Gaea",,,,,,,,,,,,,,,,,,,,,,,,,,
"Bourne, J","Harris, D","Mayadas, F",,,,,,,,,,,,,,,,,,,,,,,,,
"Huang, HM",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lughofer, Edwin",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hampel, R","Hauck, M",,,,,,,,,,,,,,,,,,,,,,,,,,
"Tolmie, A","Boyle, J",,,,,,,,,,,,,,,,,,,,,,,,,,
"Johnson, SD","Suriya, C","Yoon, SW","Berrett, JV","La Fleur, J",,,,,,,,,,,,,,,,,,,,,,,
"Harris, JM","Salasche, SJ","Harris, RB",,,,,,,,,,,,,,,,,,,,,,,,,
"Shea, Peter","Bidjerano, Temi",,,,,,,,,,,,,,,,,,,,,,,,,,
"Taradi, SK","Taradi, M","Radic, K","Pokrajac, N",,,,,,,,,,,,,,,,,,,,,,,,
"Mazzolini, Margaret","Maddison, Sarah",,,,,,,,,,,,,,,,,,,,,,,,,,
"Choules, A P",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Latchman, HA","Salzmann, C","Gillet, D","Bouzekri, H",,,,,,,,,,,,,,,,,,,,,,,,
"Cravener, P A",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dringus, LP","Ellis, T",,,,,,,,,,,,,,,,,,,,,,,,,,
"Ali, Nagia S","Hodson-Carlton, Kay","Ryan, Marilyn",,,,,,,,,,,,,,,,,,,,,,,,,
"Zhu, Erping",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schiaffino, Silvia","Garcia, Patricio","Amandi, Analia",,,,,,,,,,,,,,,,,,,,,,,,,
"Li, Xi","Hu, Weiming","Zhang, Zhongfei","Zhang, Xiaoqin","Zhu, Mingliang","Cheng, Jian",,,,,,,,,,,,,,,,,,,,,,
"Buckley, KM",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nichols, M",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jeong, Allan","Joung, Sunyoung",,,,,,,,,,,,,,,,,,,,,,,,,,
"Lin, CH","Xu, YJ",,,,,,,,,,,,,,,,,,,,,,,,,,
"NEWTON, SC","PEMMARAJU, S","MITRA, S",,,,,,,,,,,,,,,,,,,,,,,,,
"de Jesus Rubio, Jose",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Massa, Laura J","Mayer, Richard E",,,,,,,,,,,,,,,,,,,,,,,,,,
"McCombs, BL","Vakili, D",,,,,,,,,,,,,,,,,,,,,,,,,,
"Arbaugh, J B","Benbunan-Fich, Raquel",,,,,,,,,,,,,,,,,,,,,,,,,,
"Francescato, D","Porcelli, R","Mebane, M","Cuddetta, M","Klobas, J","Renzi, P",,,,,,,,,,,,,,,,,,,,,,
"Angeli, C","Valanides, N","Bonk, CJ",,,,,,,,,,,,,,,,,,,,,,,,,
"Chatterjee, C","Roychowdhury, VP",,,,,,,,,,,,,,,,,,,,,,,,,,
"Arbaugh, J B","Benbunan-Fich, Raquel",,,,,,,,,,,,,,,,,,,,,,,,,,
"Arbaugh, J B","Godfrey, Michael R","Johnson, Marianne","Pollack, Birgit Leisen","Niendorf, Bruce","Wresch, William",,,,,,,,,,,,,,,,,,,,,,
"Benbunan-Fich, R","Hiltz, SR",,,,,,,,,,,,,,,,,,,,,,,,,,
"Chen, Nian-Shing","Wei, Chun-Wang","Wu, Kuen-Ting","Uden, Lorna",,,,,,,,,,,,,,,,,,,,,,,,
an adaptive computer game for remediation of dyscalculia,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Frey, M","Giovanoli, P",,,,,,,,,,,,,,,,,,,,,,,,,,
"Sit, Janet W H","Chung, Joanne W Y","Chow, Meyrick C M","Wong, Thomas K S",,,,,,,,,,,,,,,,,,,,,,,,
"Schrire, S",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ritchie, H","Blanck, P",,,,,,,,,,,,,,,,,,,,,,,,,,
"Benigno, V","Trentin, G",,,,,,,,,,,,,,,,,,,,,,,,,,
"Heskes, T","Wiegerinck, W",,,,,,,,,,,,,,,,,,,,,,,,,,
"Wiecha, John","Heyden, Robin","Sternthal, Elliot","Merialdi, Mario",,,,,,,,,,,,,,,,,,,,,,,,
"Mazurie, Aurelien","Bonchev, Danail","Schwikowski, Benno","Buck, Gregory A",,,,,,,,,,,,,,,,,,,,,,,,
"Brenton, Harry","Hernandez, Juan","Bello, Fernando","Strutton, Paul","Purkayastha, Sanjay","Firth, Tony","Darzi, Ara",,,,,,,,,,,,,,,,,,,,,
"Anohina, A",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Soller, A",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pilkington, RM","Walker, SA",,,,,,,,,,,,,,,,,,,,,,,,,,
"Wiecha, John","Barrie, Nick",,,,,,,,,,,,,,,,,,,,,,,,,,
"Shea, Peter","Bidjerano, Temi",,,,,,,,,,,,,,,,,,,,,,,,,,
"Woltering, Vanessa","Herrler, Andreas","Spitzer, Klaus","Spreckelsen, Cord",,,,,,,,,,,,,,,,,,,,,,,,
"Edirisingha, Palitha","Nie, Ming","Pluciennik, Mark","Young, Ruth",,,,,,,,,,,,,,,,,,,,,,,,
"Fu, Fong-Ling","Su, Rong-Chang","Yu, Sheng-Chin",,,,,,,,,,,,,,,,,,,,,,,,,
"Grimes, Ellen B",,,,,,,,,,,,,,,,,,,,,,,,,,,
"McTigue, Kathleen M","Conroy, Molly B","Hess, Rachel","Bryce, Cindy L","Fiorillo, Anthony B","Fischer, Gary S","Milas, N Carole","Simkin-Silverman, Laurey R",,,,,,,,,,,,,,,,,,,,
"Wang, Minjuan",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Spanias, A","Atti, V",,,,,,,,,,,,,,,,,,,,,,,,,,
"Twomey, A",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jaffee, D",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cai, Yunpeng","Sun, Yijun",,,,,,,,,,,,,,,,,,,,,,,,,,
"Kulic, Dana","Takano, Wataru","Nakamura, Yoshihiko",,,,,,,,,,,,,,,,,,,,,,,,,
"Kitsantas, Anastasia","Chow, Anthony",,,,,,,,,,,,,,,,,,,,,,,,,,
"Chang, GW","Yeh, ZM","Chang, HM","Pan, SY",,,,,,,,,,,,,,,,,,,,,,,,
"Docherty, C","Hoy, D","Topp, H","Trinder, K",,,,,,,,,,,,,,,,,,,,,,,,
"Mehlenbacher, B","Miller, CR","Covington, D","Larsen, JS",,,,,,,,,,,,,,,,,,,,,,,,
"An, Heejung","Shin, Sunghee","Lim, Keol",,,,,,,,,,,,,,,,,,,,,,,,,
"Barbour, Michael K","Reeves, Thomas C",,,,,,,,,,,,,,,,,,,,,,,,,,
"Cheung, B","Hui, L","Zhang, J","Yiu, SM",,,,,,,,,,,,,,,,,,,,,,,,
"Gikandi, J W","Morrow, D","Davis, N E",,,,,,,,,,,,,,,,,,,,,,,,,
"Shabbott, Britne A","Sainburg, Robert L",,,,,,,,,,,,,,,,,,,,,,,,,,
"Hughes, Gwyneth",,,,,,,,,,,,,,,,,,,,,,,,,,,
