author1,author2,author3,author4,author5,author6,author7,author8,author9,author10,author11,author12,author13,author14,author15,author16,author17,author18,author19,author20,author21,author22,author23,author24,author25,author26,author27
"mazzaferro, v","regalia, e","doci, r","andreola, s","pulvirenti, a","bozzetti, f","montalto, f","ammatuna, m","morabito, a","gennari, l",,,,,,,,,,,,,,,,,
"starzl, te","todo, s","fung, j","demetris, aj","venkataramman, r","jain, a",,,,,,,,,,,,,,,,,,,,,
"llovet, jm","fuster, j","bruix, j",,,,,,,,,,,,,,,,,,,,,,,,
"yao, fy","ferrell, l","bass, nm","watson, jj","bacchetti, p","venook, a","ascher, nl","roberts, jp",,,,,,,,,,,,,,,,,,,
"samuel, d","muller, r","alexander, g","fassati, l","ducot, b","benhamou, jp","bismuth, h",,,,,,,,,,,,,,,,,,,,
"bismuth, h","chiche, l","adam, r","castaing, d","diamond, t","dennison, a",,,,,,,,,,,,,,,,,,,,,
"ploeg, rj","dalessandro, am","knechtle, sj","stegall, md","pirsch, jd","hoffmann, rm","sasaki, t","sollinger, hw","belzer, fo","kalayoglu, m",miller,katz,greig,otte,emond,,,,,,,,,,,,
"kamada, n","calne, ry",,,,,,,,,,,,,,,,,,,,,,,,,
"fox, ij","chowdhury, jr","kaufman, ss","goertzen, tc","chowdhury, nr","warkentin, pi","dorko, k","sauter, bv","strom, sc",,,,,,,,,,,,,,,,,,
"forman, lm","lewis, jd","berlin, ja","feldman, hi","lucey, mr",,,,,,,,,,,,,,,,,,,,,,
"broelsch, ce","whitington, pf","emond, jc","heffron, tg","thistlethwaite, jr","stevens, l","piper, j","whitington, sh","lichtor, jl",,,,,,,,,,,,,,,,,,
"busuttil, rw","mcdiarmid, s","klintmalm, gb","goldstein, r","miller, cm","schwartz, m","shaw, bw","roberts, jp","hebert, mf","esquivel, co","nakazato, p","wiesner, rh","krom, raf","kalayoglu, m","dalessandro, am","marsh, jw","peters, mg","burdick, j","klein, a","lewis, wd","jenkins, r","thistlethwaite, jr","emond, jc","jusko, wj","dambrosio, r","buell, d","fitzsimmons, we"
"urata, k","kawasaki, s","matsunami, h","hashikura, y","ikegami, t","ishizone, s","momose, y","komiyama, a","makuuchi, m",,,,,,,,,,,,,,,,,,
"berenguer, m","ferrell, l","watson, j","prieto, m","kim, m","rayon, m","cordoba, j","herola, a","ascher, n","mir, j","berenguer, j","wright, tl",,,,,,,,,,,,,,,
"kiuchi, t","kasahara, m","uryuhara, k","inomata, y","uemoto, s","asonuma, k","egawa, h","fujita, s","hayashi, m","tanaka, k",,,,,,,,,,,,,,,,,
"jonas, s","bechstein, wo","steinmuller, t","herrmann, m","radke, c","berg, t","settmacher, u","neuhaus, p",,,,,,,,,,,,,,,,,,,
"iwatsuki, s","starzl, te","sheahan, dg","yokoyama, i","demetris, aj","todo, s","tzakis, ag","vanthiel, dh","carr, b","selby, r","madariaga, j",,,,,,,,,,,,,,,,
"feng, s","goodrich, np","bragg-gresham, jl","dykstra, dm","punch, jd","debroy, ma","greenstein, sm","merion, rm",,,,,,,,,,,,,,,,,,,
"degroen, pc","aksamit, aj","rakela, j","forbes, gs","krom, raf",,,,,,,,,,,,,,,,,,,,,,
"todo, s","demetris, aj","vanthiel, d","teperman, l","fung, jj","starzl, te",,,,,,,,,,,,,,,,,,,,,
"ringe, b","pichlmayr, r","wittekind, c","tusch, g",,,,,,,,,,,,,,,,,,,,,,,
"neuhaus, p","pichlmayr, r","williams, r","bechstein, wo","blumhardt, g","mcmaster, p","mayer, d","buckels, j","calne, r","friend, p","joughin, c","winkler, m","ringe, b","otto, g","bleyl, j","devlin, j","ogrady, j","groth, c","ericzon, b","duraj, f","bismuth, h","samuel, d","rucay, p",,,,
"kusne, s","dummer, js","singh, n","iwatsuki, s","makowka, l","esquivel, c","tzakis, ag","starzl, te","ho, m",,,,,,,,,,,,,,,,,,
"shaw, bw","martin, dj","marquez, jm","kang, yg","bugbee, ac","iwatsuki, s","griffith, bp","hardesty, rl","bahnson, ht","starzl, te",,,,,,,,,,,,,,,,,
"kalayoglu, m","sollinger, hw","stratta, rj","dalessandro, am","hoffmann, rm","pirsch, jd","belzer, fo",,,,,,,,,,,,,,,,,,,,
"rhim, ja","sandgren, ep","degen, jl","palmiter, rd","brinster, rl",,,,,,,,,,,,,,,,,,,,,,
"tanaka, k","uemoto, s","tokunaga, y","fujita, s","sano, k","nishizawa, t","sawada, h","shirahase, i","kim, hj","yamaoka, y","ozawa, k",,,,,,,,,,,,,,,,
"berenguer, m","prieto, m","san juan, f","rayon, jm","martinez, f","carrasco, d","moya, a","orbis, f","mir, j","berenguer, j",,,,,,,,,,,,,,,,,
"starzl, te","klintmalm, gbg","porter, ka","iwatsuki, s","schroter, gpj",,,,,,,,,,,,,,,,,,,,,,
"iwatsuki, s","gordon, rd","shaw, bw","starzl, te",,,,,,,,,,,,,,,,,,,,,,,
"charlton, m","seaberg, e","wiesner, r","everhart, j","zetterman, r","lake, j","detre, k","hoofnagle, j",,,,,,,,,,,,,,,,,,,
"bartholomew, mm","jansen, rw","jeffers, lj","reddy, kr","johnson, lc","bunzendahl, h","condreay, ld","tzakis, ag","schiff, er","brown, na",,,,,,,,,,,,,,,,,
"strasberg, sm","howard, tk","molmenti, ep","hertl, m",,,,,,,,,,,,,,,,,,,,,,,
"lo, cm","fan, st","liu, cl","wei, wi","lo, rjw","lai, cl","chan, jkf","ng, iol","fung, a","wong, j",,,,,,,,,,,,,,,,,
"kang, yg","martin, dj","marquez, j","lewis, jh","bontempo, fa","shaw, bw","starzl, te","winter, pm",,,,,,,,,,,,,,,,,,,
"davies, se","portmann, bc","ogrady, jg","aldis, pm","chaggar, k","alexander, gjm","williams, r",,,,,,,,,,,,,,,,,,,,
"holmgren, g","ericzon, bg","groth, cg","steen, l","suhr, o","andersen, o","wallin, bg","seymour, a","richardson, s","hawkins, pn","pepys, mb",,,,,,,,,,,,,,,,
"markowitz, js","martin, p","conrad, aj","markmann, jf","seu, p","yersiz, h","goss, ja","schmidt, p","pakrasi, a","artinian, l","murray, ngb","imagawa, dk","holt, c","goldstein, li","stribling, r","busuttil, rw",,,,,,,,,,,
"ogrady, jg","polson, rj","rolles, k","calne, ry","williams, r",,,,,,,,,,,,,,,,,,,,,,
"poon, rtp","fan, st","lo, cm","liu, cl","wong, j",,,,,,,,,,,,,,,,,,,,,,
